date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:49:58	38550/38550	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:19:58%20GMT	https://www.redapt.com/capabilities/infrastructure/it-asset-disposition	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/infrastructure/it-asset-disposition.html	(from https://www.redapt.com/)
11:49:58	38696/38696	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:19:58%20GMT	https://www.redapt.com/capabilities/operations	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/operations.html	(from https://www.redapt.com/)
11:49:59	41527/41527	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:19:59%20GMT	https://www.redapt.com/capabilities/operations/devops-automation	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/operations/devops-automation.html	(from https://www.redapt.com/)
11:50:00	39403/39403	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:19:59%20GMT	https://www.redapt.com/capabilities/operations/site-operations	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/operations/site-operations.html	(from https://www.redapt.com/)
11:50:00	46048/46048	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:00%20GMT	https://www.redapt.com/capabilities/operations/modern-datacenter	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/operations/modern-datacenter.html	(from https://www.redapt.com/)
11:50:01	65426/65426	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:01%20GMT	https://www.redapt.com/capabilities/operations/managed-services	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/operations/managed-services.html	(from https://www.redapt.com/)
11:50:02	36424/36424	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:01%20GMT	https://www.redapt.com/capabilities/cloud-engineering	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/cloud-engineering.html	(from https://www.redapt.com/)
11:50:04	42524/42524	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:02%20GMT	https://www.redapt.com/capabilities/cloud-engineering/public-cloud-implementation	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/cloud-engineering/public-cloud-implementation.html	(from https://www.redapt.com/)
11:50:04	43093/43093	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:03%20GMT	https://www.redapt.com/capabilities/cloud-engineering/hybrid-cloud-implementation	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/cloud-engineering/hybrid-cloud-implementation.html	(from https://www.redapt.com/)
11:50:05	41678/41678	---MCZ	200	added ('OK')	text/html	date:Wed,%2023%20Dec%202020%2006:20:04%20GMT	https://www.redapt.com/capabilities/cloud-engineering/app-data-migration	C:/My%20Web%20Sites/att/www.redapt.com/capabilities/cloud-engineering/app-data-migration.html	(from https://www.redapt.com/)
